,PTAFR,PYGL,APOBEC3G,LY6E,SIRPA,ITGB3,IGF1R,DGAT2,IL1RAP,MYADM,TMCO3,MPZL1,RFLNB,IFI44L,PPBP,MASTL,PGAP1,CUL1,GNAQ,IMPA2,TAGLN2,PI4K2B,KLHL2,SIGLEC10,BCL6,GIMAP6,SORL1,F13A1,TBC1D14,NLRP12,GALM,INPP5A,ISG15,NIBAN1,OAS2,ALOX5,RTN3,PRKAR2B,MANSC1,CR1,GTF2IP4,CD38,MAML3,CMTR1,APOL3,TSPAN2,H2BC6,H3C12,H3C3
KD1,0.440189235055269,-0.130133398569945,-0.566502484811623,0.0185392097479662,-0.148853055598008,-0.655902224899342,-0.523487786558563,0.148853055598008,-0.359842039030204,0.633084691616942,0.0556431434337697,-0.243377367361724,-0.0556431434337697,0.148853055598008,0.0370847942039154,-0.419855034734691,-0.440189235055269,0.0185392097479662,-0.262518436863056,0.359842039030204,0.460707109129198,0.186456254888093,-0.130133398569945,0.633084691616942,-0.399692984909359,0.340132742244863,-0.0742206783153635,0.0185392097479662,-0.111459236780377,-0.130133398569945,-0.419855034734691,0.148853055598008,0.167625024937948,-0.0370847942039152,0.0,-0.0556431434337697,-0.544869105017391,-0.419855034734691,-0.0742206783153635,-0.481420806478481,0.359842039030204,-0.750885065676913,-0.0556431434337697,-0.0556431434337697,0.0185392097479662,-0.379692131673331,0.544869105017392,0.544869105017392,0.523487786558563
KD2,0.0556431434337697,0.0742206783153635,0.523487786558563,-0.359842039030204,0.481420806478481,-0.167625024937948,0.800986908091313,0.186456254888093,0.224325061339276,0.610592120483021,0.800986908091313,-0.0185392097479664,0.800986908091313,-0.186456254888093,-0.0185392097479664,0.224325061339276,0.262518436863056,0.111459236780377,-0.167625024937948,0.262518436863056,0.72653129314085,0.0185392097479662,0.224325061339276,0.167625024937948,0.205353844036783,0.523487786558563,0.0742206783153635,0.440189235055269,0.679066488577918,0.440189235055269,-0.167625024937948,0.130133398569945,-0.502343166052932,0.281756182903854,0.0928238661856156,0.111459236780377,0.523487786558563,-0.281756182903854,0.281756182903854,-0.243377367361724,0.0,1.16099581346862,0.523487786558563,0.148853055598008,0.853185178713923,0.440189235055269,0.281756182903854,0.340132742244863,0.460707109129198
KD3,-0.262518436863056,1.02617562273843,-0.610592120483021,-1.7338805428708,0.588404314689586,0.0,0.655902224899342,-0.111459236780377,-0.0556431434337697,-0.419855034734691,1.5869592036478,-0.340132742244863,1.5247831797738,-0.523487786558563,-0.148853055598008,0.399692984909359,0.460707109129198,-0.111459236780377,1.65595672521267,0.224325061339276,-0.655902224899342,-0.320554705406007,1.5247831797738,-0.481420806478481,1.32106889218756,-0.853185178713922,0.775692571607601,-0.481420806478481,0.186456254888093,0.679066488577918,-0.399692984909359,-0.880173514115766,-2.06879449665735,0.224325061339276,-0.702601010269798,0.130133398569945,1.5247831797738,0.205353844036783,0.440189235055269,1.12536380109078,1.02617562273843,0.0742206783153635,0.907818698946458,-0.679066488577918,-0.399692984909359,1.16099581346862,-1.32106889218756,-1.04199680829039,-1.32106889218756
KD4,0.111459236780377,0.460707109129198,-0.523487786558563,1.12536380109078,0.0742206783153635,-0.72653129314085,0.205353844036783,0.853185178713923,1.02617562273843,0.243377367361724,0.0742206783153635,-0.262518436863056,-0.460707109129198,1.05808321122835,-1.02617562273843,-0.72653129314085,0.111459236780377,-0.340132742244863,0.750885065676913,0.588404314689586,0.0370847942039154,-0.610592120483021,0.610592120483021,0.588404314689586,0.588404314689586,0.0370847942039154,0.359842039030204,-0.800986908091313,0.419855034734691,1.02617562273843,0.502343166052932,-0.130133398569945,0.995279980678382,0.633084691616942,1.09110608451375,1.65595672521267,-0.0742206783153635,-0.965306307416315,0.702601010269798,1.2370702640233,-0.419855034734691,-0.775692571607601,0.633084691616942,0.72653129314085,-0.301098782692763,0.800986908091313,-0.379692131673331,-0.502343166052932,-0.566502484811623
KD5,0.0370847942039154,-0.566502484811623,-0.0556431434337697,0.460707109129198,0.186456254888093,1.2370702640233,0.359842039030204,-0.359842039030204,-0.544869105017391,0.0370847942039154,-0.262518436863056,1.7338805428708,0.205353844036783,0.0370847942039154,0.523487786558563,0.111459236780377,0.0928238661856156,0.320554705406007,-0.566502484811623,-0.224325061339276,0.544869105017392,-0.440189235055269,-0.936175732862713,0.359842039030204,-0.566502484811623,-0.0185392097479664,-0.281756182903854,1.7338805428708,-0.167625024937948,-0.340132742244863,0.340132742244863,0.907818698946458,-0.440189235055269,-0.359842039030204,0.224325061339276,-0.320554705406007,-0.0928238661856154,0.655902224899342,-0.359842039030204,-0.523487786558563,-0.0742206783153635,0.610592120483021,0.853185178713923,0.186456254888093,0.481420806478481,-0.148853055598008,0.301098782692763,0.502343166052932,0.359842039030204
KD6,2.26076080100436,2.26076080100436,0.399692984909359,0.0370847942039154,2.26076080100436,0.679066488577918,1.82402707629013,2.26076080100436,0.907818698946458,0.880173514115766,2.06879449665735,1.41558928449071,1.82402707629013,-1.27794251429091,0.936175732862713,1.02617562273843,-0.224325061339276,0.702601010269798,1.82402707629013,2.26076080100436,2.26076080100436,0.243377367361724,1.93202291986177,1.82402707629013,2.06879449665735,0.281756182903854,1.5869592036478,0.679066488577918,2.61270914451658,2.61270914451658,-0.148853055598008,2.06879449665735,-0.111459236780377,1.82402707629013,-0.359842039030204,2.26076080100436,1.82402707629013,1.1981662538066,2.61270914451658,1.36680290378389,2.61270914451658,-0.419855034734691,1.36680290378389,0.243377367361724,0.301098782692763,1.12536380109078,0.775692571607601,1.12536380109078,1.02617562273843
KD7,-0.775692571607601,-0.907818698946458,0.0185392097479662,-0.523487786558563,-0.750885065676913,0.702601010269798,-0.281756182903854,-0.853185178713922,-0.936175732862713,-0.224325061339276,-0.205353844036783,-0.481420806478481,0.281756182903854,-0.440189235055269,0.853185178713923,-0.224325061339276,0.481420806478481,0.262518436863056,-0.907818698946458,-1.09110608451375,0.0742206783153635,0.340132742244863,-1.12536380109078,-0.544869105017391,-0.995279980678382,0.262518436863056,-0.995279980678382,0.205353844036783,-1.12536380109078,-0.853185178713922,-0.320554705406007,0.111459236780377,-0.995279980678382,-1.16099581346862,-0.0928238661856154,-0.965306307416315,-0.633084691616942,1.09110608451375,-1.02617562273843,-1.12536380109078,-0.481420806478481,0.907818698946458,-0.481420806478481,-0.281756182903854,0.243377367361724,-0.111459236780377,0.0185392097479662,-0.0370847942039152,0.205353844036783
KD8,0.566502484811623,0.907818698946458,-0.655902224899342,-1.32106889218756,0.936175732862713,2.26076080100436,0.702601010269798,1.12536380109078,0.419855034734691,1.16099581346862,1.32106889218756,0.775692571607601,0.702601010269798,-1.46799902210323,1.46799902210323,-0.679066488577918,-0.340132742244863,-0.750885065676913,0.481420806478481,0.610592120483021,1.82402707629013,-0.853185178713922,0.379692131673331,0.205353844036783,0.800986908091313,-0.460707109129198,1.46799902210323,1.5869592036478,1.5869592036478,0.995279980678382,0.544869105017392,0.82680442225178,-0.965306307416315,0.880173514115766,-1.02617562273843,0.460707109129198,0.702601010269798,1.93202291986177,0.633084691616942,0.419855034734691,0.907818698946458,0.440189235055269,0.544869105017392,-0.880173514115766,-0.205353844036783,0.995279980678382,0.148853055598008,-0.0742206783153635,0.148853055598008
KD9,0.523487786558563,0.481420806478481,-0.965306307416315,-1.2370702640233,1.2370702640233,-0.750885065676913,1.5247831797738,0.502343166052932,0.936175732862713,0.281756182903854,0.610592120483021,1.5247831797738,-0.205353844036783,-1.5247831797738,-0.853185178713922,-0.965306307416315,-1.5247831797738,-1.36680290378389,0.72653129314085,0.82680442225178,0.186456254888093,-1.02617562273843,0.82680442225178,1.7338805428708,1.5869592036478,-1.2370702640233,0.907818698946458,-1.16099581346862,0.965306307416315,0.419855034734691,-1.5247831797738,0.0185392097479662,-1.32106889218756,1.16099581346862,-1.5869592036478,1.46799902210323,0.775692571607601,-1.02617562273843,0.167625024937948,1.41558928449071,0.502343166052932,0.243377367361724,1.93202291986177,-1.1981662538066,-1.5247831797738,0.419855034734691,-0.853185178713922,-0.186456254888093,-0.167625024937948
KD10,2.06879449665735,2.06879449665735,0.679066488577918,-0.186456254888093,1.41558928449071,1.32106889218756,1.7338805428708,2.61270914451658,1.41558928449071,0.502343166052932,2.61270914451658,2.06879449665735,2.06879449665735,-0.205353844036783,1.5247831797738,-0.481420806478481,-0.481420806478481,0.224325061339276,1.7338805428708,2.61270914451658,1.02617562273843,-0.679066488577918,1.5869592036478,0.907818698946458,1.46799902210323,0.111459236780377,1.7338805428708,2.06879449665735,2.06879449665735,2.26076080100436,0.167625024937948,1.65595672521267,-0.0556431434337697,1.93202291986177,-0.440189235055269,2.61270914451658,1.93202291986177,1.16099581346862,1.1981662538066,1.82402707629013,1.93202291986177,-0.399692984909359,2.26076080100436,0.523487786558563,-0.379692131673331,1.46799902210323,-0.588404314689586,-0.866600443874031,-0.523487786558563
